frequencies,n_pulses,individual_responses,integrated_response,interaction_coefficient,interaction_sem,resource_utilization,condition_name,mean_frequency,frequency_spread
"[20, 20, 20]",10,"{'DD': np.float64(1.8295304597983588), 'MD': np.float64(1.0459012669447143), 'PD': np.float64(1.75618142279102)}",4.726375705270326,0.02465827711575809,0.017863405551002833,"{'DD': np.float64(0.6489324605156204), 'MD': np.float64(0.9344356281176178), 'PD': np.float64(0.4551641485916094)}",Equal_20Hz,20.0,0
"[20, 20, 20]",15,"{'DD': np.float64(2.690591955321308), 'MD': np.float64(1.1222060798565758), 'PD': np.float64(2.5986643343444347)}",6.25831109463014,-0.01867326358777456,0.018374838727315747,"{'DD': np.float64(0.6519485741172872), 'MD': np.float64(0.9566381084526666), 'PD': np.float64(0.4622734851760729)}",Equal_20Hz,20.0,0
"[30, 30, 30]",5,"{'DD': np.float64(1.0899937709384104), 'MD': np.float64(0.8880823758674912), 'PD': np.float64(1.0228984668882126)}",3.0436001759417315,0.017015170422362055,0.012893289209558073,"{'DD': np.float64(0.6495184748767246), 'MD': np.float64(0.808734928622547), 'PD': np.float64(0.5625147310539174)}",Equal_30Hz,30.0,0
"[30, 30, 30]",10,"{'DD': np.float64(1.687049957328805), 'MD': np.float64(1.0351274675285453), 'PD': np.float64(1.7420708454567788)}",4.425428697370729,-0.00779933576236593,0.012222472302255089,"{'DD': np.float64(0.7617271469897605), 'MD': np.float64(0.9503764556745685), 'PD': np.float64(0.639576891235447)}",Equal_30Hz,30.0,0
"[30, 30, 30]",15,"{'DD': np.float64(2.3228258337793464), 'MD': np.float64(1.0858475901389233), 'PD': np.float64(2.4291621400841006)}",5.8093564797054595,-0.002441294847157535,0.014847071175437463,"{'DD': np.float64(0.7611217741483272), 'MD': np.float64(0.9714472600680151), 'PD': np.float64(0.6250333009421081)}",Equal_30Hz,30.0,0
"[5, 10, 15]",5,"{'DD': np.float64(1.0283065181996123), 'MD': np.float64(0.8841802845733517), 'PD': np.float64(1.0264505745913124)}",2.89588932968,-0.011153181646061034,0.01676192380267124,"{'DD': np.float64(0.1571382850363808), 'MD': np.float64(0.6989810612067412), 'PD': np.float64(0.5671620980375093)}",Mixed_Low,10.0,10
"[5, 10, 15]",10,"{'DD': np.float64(1.9577404616426486), 'MD': np.float64(1.0885012789621025), 'PD': np.float64(1.590150859913858)}",4.659212059392286,0.011067866208625913,0.018916434603900415,"{'DD': np.float64(0.1560402642777417), 'MD': np.float64(0.8942747903426634), 'PD': np.float64(0.66418574130708)}",Mixed_Low,10.0,10
"[5, 10, 15]",15,"{'DD': np.float64(3.1036940651975184), 'MD': np.float64(1.2296776343680316), 'PD': np.float64(2.070665664894341)}",6.274001338221817,-0.016708489910411857,0.01879450233664576,"{'DD': np.float64(0.1643499433073589), 'MD': np.float64(0.8991183486037575), 'PD': np.float64(0.6673663120190254)}",Mixed_Low,10.0,10
"[15, 20, 30]",5,"{'DD': np.float64(1.107576730686385), 'MD': np.float64(0.8805917960281938), 'PD': np.float64(0.9914724273330876)}",2.9677136612466346,-0.00222906408624112,0.011484657613426165,"{'DD': np.float64(0.45345845258376627), 'MD': np.float64(0.7742588012847681), 'PD': np.float64(0.5446766185618882)}",Mixed_High,21.666666666666668,15
"[15, 20, 30]",10,"{'DD': np.float64(1.91543623265626), 'MD': np.float64(1.0313811219644626), 'PD': np.float64(1.7299091658651469)}",4.751306455300134,0.019850618154685775,0.015380361870481096,"{'DD': np.float64(0.557464771206184), 'MD': np.float64(0.933474587451025), 'PD': np.float64(0.6292459402899225)}",Mixed_High,21.666666666666668,15
"[15, 20, 30]",15,"{'DD': np.float64(2.7910463020798053), 'MD': np.float64(1.1161814174735918), 'PD': np.float64(2.304471846764234)}",6.396944629969651,0.03902642659050874,0.023968701944285003,"{'DD': np.float64(0.5498805375953991), 'MD': np.float64(0.9507808905058347), 'PD': np.float64(0.6321965494723837)}",Mixed_High,21.666666666666668,15
"[30, 5, 5]",5,"{'DD': np.float64(1.06963831235868), 'MD': np.float64(0.8979332249724484), 'PD': np.float64(1.1956824901229035)}",3.1855976060220987,0.010976653106676991,0.016033375841932603,"{'DD': np.float64(0.6472315479373837), 'MD': np.float64(0.6903855655620317), 'PD': np.float64(0.3512192793935924)}",DD_Dominant,13.333333333333334,25
"[30, 5, 5]",10,"{'DD': np.float64(1.729568349972741), 'MD': np.float64(1.1942275369649196), 'PD': np.float64(2.2367182014118296)}",5.0637065548589435,-0.014644221658565937,0.018553825922938343,"{'DD': np.float64(0.7825619415914924), 'MD': np.float64(0.826803218686102), 'PD': np.float64(0.3648635936982971)}",DD_Dominant,13.333333333333334,25
"[30, 5, 5]",15,"{'DD': np.float64(2.330188668926022), 'MD': np.float64(1.440083646927744), 'PD': np.float64(3.168970376717978)}",6.797946115301994,-0.01265665460293314,0.02231484814070166,"{'DD': np.float64(0.774396341824961), 'MD': np.float64(0.845295597314739), 'PD': np.float64(0.3684664649381059)}",DD_Dominant,13.333333333333334,25
"[5, 30, 5]",5,"{'DD': np.float64(1.0430041676410486), 'MD': np.float64(0.900621237618586), 'PD': np.float64(1.204510083612806)}",3.224843103657643,0.027918721029554904,0.018678199049150104,"{'DD': np.float64(0.15335231313985168), 'MD': np.float64(0.8118174371824339), 'PD': np.float64(0.34643088265874356)}",MD_Dominant,13.333333333333334,25
"[5, 30, 5]",10,"{'DD': np.float64(2.126654089748764), 'MD': np.float64(1.0311748171573047), 'PD': np.float64(2.2285943498734375)}",5.392213638136519,0.007752412657783974,0.023429968645955944,"{'DD': np.float64(0.17698378689606117), 'MD': np.float64(0.9469680626425444), 'PD': np.float64(0.3549184286941672)}",MD_Dominant,13.333333333333334,25
"[5, 30, 5]",15,"{'DD': np.float64(2.9689296945755945), 'MD': np.float64(1.0911670896992482), 'PD': np.float64(3.1656890393020203)}",7.334135021840096,0.02518244062775961,0.02394486796655823,"{'DD': np.float64(0.16155974181187002), 'MD': np.float64(0.9690300100184727), 'PD': np.float64(0.34675543524422636)}",MD_Dominant,13.333333333333334,25
"[5, 5, 30]",5,"{'DD': np.float64(1.038155149988114), 'MD': np.float64(0.8865725947876316), 'PD': np.float64(0.996649048965578)}",2.913949959114297,0.002010342680610657,0.01932479960379531,"{'DD': np.float64(0.14714793262989126), 'MD': np.float64(0.6871493756589572), 'PD': np.float64(0.5354608355072779)}",PD_Dominant,13.333333333333334,25
"[5, 5, 30]",10,"{'DD': np.float64(2.1179778473115283), 'MD': np.float64(1.1901303544939477), 'PD': np.float64(1.7159152987557014)}",4.910492297399002,-0.012349495283661471,0.023872359368113077,"{'DD': np.float64(0.1732840678336985), 'MD': np.float64(0.8253734231261006), 'PD': np.float64(0.6205863210646662)}",PD_Dominant,13.333333333333334,25
"[5, 5, 30]",15,"{'DD': np.float64(3.041585518394929), 'MD': np.float64(1.4617549044998563), 'PD': np.float64(2.2989872710796324)}",6.759131645587293,0.006520853140862902,0.028310995205025176,"{'DD': np.float64(0.1537707835997842), 'MD': np.float64(0.8330169776032255), 'PD': np.float64(0.6285010372538999)}",PD_Dominant,13.333333333333334,25
"[10, 10, 15]",5,"{'DD': np.float64(1.066300454169099), 'MD': np.float64(0.8850829702560724), 'PD': np.float64(1.0026623222197801)}",3.0123849162139837,0.022524704057587244,0.013688760744508463,"{'DD': np.float64(0.3733891139131522), 'MD': np.float64(0.7256777477500782), 'PD': np.float64(0.6147331987846706)}",PD_Below_Thresh,11.666666666666666,5
"[10, 10, 15]",10,"{'DD': np.float64(2.073982970183729), 'MD': np.float64(1.091688372100268), 'PD': np.float64(1.5350853188601254)}",4.795795806525498,0.027008726795814137,0.0198337735770908,"{'DD': np.float64(0.39084259554444906), 'MD': np.float64(0.8922976209053987), 'PD': np.float64(0.6589241387773764)}",PD_Below_Thresh,11.666666666666666,5
"[10, 10, 15]",15,"{'DD': np.float64(3.075512720432332), 'MD': np.float64(1.214148230154599), 'PD': np.float64(2.0836042839764346)}",6.453857214742931,0.021378708624168907,0.02287637712756999,"{'DD': np.float64(0.38020335953816914), 'MD': np.float64(0.9082681934995452), 'PD': np.float64(0.657097584287065)}",PD_Below_Thresh,11.666666666666666,5
"[10, 10, 25]",5,"{'DD': np.float64(1.0729668810553297), 'MD': np.float64(0.8505484319375554), 'PD': np.float64(1.0298605078655647)}",2.8927886002277714,-0.019093880786685214,0.00987437130798035,"{'DD': np.float64(0.343745779414778), 'MD': np.float64(0.7138705505134416), 'PD': np.float64(0.5078352771301416)}",PD_Above_Thresh,15.0,15
