DD_freq,MD_freq,PD_freq,num_pulses,DD_response,MD_response,PD_response,individual_sum,integrated_response,interaction_coefficient,interaction_sem,interaction_std,mean_frequency,n_trials,cv
40,5,1,3,0.7174592484542903,0.6709362783102725,0.9090474743907446,2.2974430011553073,2.2866521559565576,-0.0013125230685154235,0.016115095131640902,0.08678244316653717,15.333333333333334,30,0.2
40,5,5,3,0.72838444527826,0.6586135346065557,0.7921847152954057,2.1791826951802213,2.1585989907913743,-0.005201076250377452,0.016677557252548936,0.08981139438539736,16.666666666666668,30,0.2
40,5,10,3,0.7129798550139987,0.6697219226651379,0.7636740531460282,2.146375830825165,2.1555308543655984,0.00696991049062431,0.014383571131966193,0.07745790106078014,18.333333333333332,30,0.2
40,5,15,3,0.7069995243066561,0.6651743867726138,0.7273516951226122,2.099525606201882,2.1157895647495,0.009362913883078888,0.009386763348956188,0.050549267639698886,20.0,30,0.2
40,5,20,3,0.7256379793275819,0.6785487967824625,0.655679494661706,2.0598662707717508,2.022677210262125,-0.01623264925646079,0.010746019496866918,0.057869086011308954,21.666666666666668,30,0.2
40,5,30,3,0.7212137891849866,0.6643153742572111,0.6886990995863708,2.074228263028569,2.081352632633559,0.005340578262407763,0.012328374837557094,0.06639033030437502,25.0,30,0.2
40,5,40,3,0.7156114502849474,0.6705181673014476,0.6944252944211896,2.0805549120075844,2.0974752513142723,0.010298039131279631,0.01201976008548908,0.06472838900257581,28.333333333333332,30,0.2
40,10,1,3,0.7273271198129793,0.6679599789473534,0.9650502380562409,2.360337336816573,2.3166187565055685,-0.014605576867538661,0.01715255455826082,0.09236933315960069,17.0,30,0.2
40,10,5,3,0.7223034070372633,0.6567098832659639,0.8037100264288185,2.1827233167320457,2.2066966640794945,0.012473907785770694,0.010603638750765093,0.05710234222818785,18.333333333333332,30,0.2
40,10,10,3,0.7199921332777607,0.6501637049043474,0.7576211990350114,2.1277770372171196,2.1299244151733214,0.0022430926663785026,0.009450667203509585,0.050893400428280076,20.0,30,0.2
40,10,15,3,0.7305830199743288,0.6614347093020833,0.7394824239700895,2.131500153246501,2.1035136396126086,-0.010432677140485753,0.01365879437840829,0.07355485879449092,21.666666666666668,30,0.2
40,10,20,3,0.7273908486025611,0.668635897231128,0.6465958837306682,2.0426226295643573,2.0158969589888462,-0.009774126845779114,0.013913536956906504,0.07492668956309823,23.333333333333332,30,0.2
40,10,30,3,0.7164282807321448,0.6584923975914416,0.6833640446219961,2.0582847229455825,2.0510074424828395,-0.0010581874716130359,0.012906119776976057,0.06950158201963406,26.666666666666668,30,0.2
40,10,40,3,0.7032282801468736,0.6736398819502444,0.7087090315340613,2.0855771936311793,2.0643477191506476,-0.007778064366486799,0.012809788984986864,0.06898282482877048,30.0,30,0.2
40,15,1,3,0.6915636418885559,0.6718699546066514,0.9173954801609951,2.2808290766562025,2.338039987696617,0.028438594721570398,0.01854644777661881,0.0998756778640056,18.666666666666668,30,0.2
40,15,5,3,0.7156898180156365,0.67520688848268,0.7936756933305059,2.1845723998288227,2.1728590136086767,-0.00256954726528433,0.012693871058275913,0.06835858768933067,20.0,30,0.2
40,15,10,3,0.7328005297550816,0.6628076594070077,0.7359587329057516,2.1315669220678406,2.1483407752101926,0.008840835883886702,0.010764232777015784,0.057967167526589106,21.666666666666668,30,0.2
40,15,15,3,0.7091049460776333,0.6832417571823096,0.7484059500094153,2.1407526532693586,2.150600052948992,0.006530963403122691,0.011570260520190839,0.06230775976270947,23.333333333333332,30,0.2
40,15,20,3,0.7235976679237639,0.669056782994674,0.6401708604992989,2.032825311417737,2.030124968764836,0.0009776077789563332,0.011805930458621652,0.06357688122124663,25.0,30,0.2
40,15,30,3,0.7159371756473079,0.689102115594244,0.6592123821358913,2.0642516733774428,2.065812156102108,0.001765034415354871,0.010143442665529438,0.05462411046559574,28.333333333333332,30,0.2
